Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games	Population	Nationality_Count
DiMKE	"Dimitrije ""DiMKE"" Veljković (born December 11, 1993) is a Serbian professional Counter-Strike: Global Offensive player and former professional Counter-Strike player."	Димитрије Вељковић	Dimitrije Veljković	Serbia	December 11, 1993 (age 29)	Active	2014 – Present			Rifler				$15,767	Global Offensive	6,647,003	30
djokabomba	"Velizar ""djokabomba"" Perić (born August 23, 1989) is a Serbian professional Counter-Strike: Global Offensive coach."	Velizar Perić		Serbia	August 23, 1989 (age 34)	Active		2019 – Present		Coach	iNation				Global Offensive	6,647,003	30
Dragon	"Nikola ""Dragon"" Bošković (born December 19, 1999) is a Serbian professional Counter-Strike: Global Offensive player."	Никола Бошковић	Nikola Bošković	Serbia	December 19, 1999 (age 23)	Active	2020 – Present			AWPer				$21,580	Global Offensive	6,647,003	30
emi	"Luka ""emi"" Vuković (born September 5, 1993) is a Serbian professional Counter-Strike: Global Offensive player. He is also a former professional Counter-Strike: Global Offensive coach and analyst, most notably for CR4ZY, and a retired semi-professional Counter-Strike player, most notably for iNation."	Лука Вуковић	Luka Vuković	Serbia	September  5, 1993 (age 30)	Active	2008 – 2018, 2019 – Present	2018 – 2019						$51,028	Global Offensive	6,647,003	30
fajkus	"Filip ""fajkus"" Konatarević (born February 24, 1989) is a Serbian professional Counter-Strike: Global Offensive coach and former player."	Филип Конатаревић	Filip Konatarević	Serbia	February 24, 1989 (age 34)	Active	2015 – 2019	2020 – Present		Coach	Zero Tenacity			$318	Global Offensive	6,647,003	30
Feed	"Mihajlo ""Feed"" Petrović (previously known as Feedme) (born October 3, 1994) is a Serbian professional Counter-Strike: Global Offensive coach."	Mihajlo Petrović		Serbia	October  3, 1994 (age 29)	Active		2020 – Present					Feedme, feedme		Global Offensive	6,647,003	30
HOLMES	"Petar ""HOLMES"" Dimitrijević (born July 6, 1992) is a Serbian professional Counter-Strike: Global Offensive and a former semi-professional Counter-Strike player."	Петар Димитријевић	Petar Dimitrijević	Serbia	July  6, 1992 (age 31)	Active	2011 – 2012, 2015 – Present							$9,339	Global Offensive	6,647,003	30
Impulse	"Aleksa ""Impulse"" Stankić (born May 7, 1996) is a Serbian professional Counter-Strike: Global Offensive player."	Алекса Станкић	Aleksa Stankić	Serbia	May  7, 1996 (age 27)	Active	2016 – Present							$33,006	Global Offensive	6,647,003	30
k1Ng0r	"Nemanja ""k1Ng0r"" Bošković (born January 16, 1989) is an inactive Serbian professional Counter-Strike: Global Offensive player and former semi-professional Counter-Strike player."	Немања Бошковић	Nemanja Bošković	Serbia	January 16, 1989 (age 34)	Inactive	2006 – 2019			Rifler			kGR	$4,865	Global Offensive	6,647,003	30
kassad	"Aleksandar ""kassad"" Trifunović (born October 30, 1986) is a Serbian professional Counter-Strike: Global Offensive coach, most recently for EXTREMUM, broadcast analyst, and a retired semi-professional Counter-Strike: Global Offensive and Counter-Strike player."	Александар Трифуновић	Aleksandar Trifunović	Serbia	October 30, 1986 (age 36)	Active	2011 – 2015	2013 – Present					ksd	$7,621	Global Offensive	6,647,003	30
Kind0	"Vladan ""Kind0"" Mandić (born January 14, 2002) is a Serbian professional Counter-Strike: Global Offensive player."	Vladan Mandić		Serbia	January 14, 2002 (age 21)	Active	2020 – Present			Rifler				$18,197	Global Offensive	6,647,003	30
Lacore	"Stefan ""Lacore"" Paunović (born February 9, 1995) is a Serbian professional Counter-Strike: Global Offensive coach and player."	Стефан Пауновић	Stefan Paunović	Serbia	February  9, 1995 (age 28)	Active	2016 – 2020, 2022 – Present	2020						$3,600	Global Offensive	6,647,003	30
LETN1	"Nestor ""LETN1"" Tanić (formerly known as 1NTEL) (born November 16, 1992) is a Serbian professional Counter-Strike: Global Offensive coach, former manager and analyst, and a retired professional Counter-Strike: Global Offensive and Counter-Strike player."	Нестор Танић	Nestor Tanić	Serbia	November 16, 1992 (age 30)	Active	2012 2013 – 2020,	2022 – Present	2021				1NTEL	$96,097	Global Offensive	6,647,003	30
nEMANHA	"Nemanja ""nEMANHA"" Đukić (born September 21, 1997) is a Serbian professional Counter-Strike: Global Offensive player."	Немања Ђукић	Nemanja Đukić	Serbia	September 21, 1997 (age 26)	Active	2013 – Present			In-game leader	Zero Tenacity		nemanha	$6,565	Global Offensive	6,647,003	30
nexa	"Nemanja ""nexa"" Isaković (born April 25, 1997) is a Serbian professional Counter-Strike: Global Offensive player. Widely considered as the best Serbian player of all time, he started his career playing in various local mixes. Isaković joined his first professional team, Renegades, in April 2017 as the IGL, despite not having any experience in the role.  Noah ""Nifty"" Francis would take over from the young rifler midway through IEM Sydney 2017, prompting him to depart a few months later. nexa then formed the international MANS NOT HOT-The Imperial lineup, where he bounced around the role of an IGL multiple times after his captains departed. He was later acquired by G2 Esports as part of their transition to an international roster in late 2019, becoming their IGL.  In January 2022, he was traded by G2 to OG in exchange for Aleksi ""Aleksib"" Virolainen."	Немања Исаковић	Nemanja Isaković	Serbia	April 25, 1997 (age 26)	Active	2013 – Present			In-game leader	OG			$412,747	Global Offensive	6,647,003	30
SkippeR	"Stefan ""SkippeR"" Rebrača (born June 24, 1998) is a Serbian professional Counter-Strike: Global Offensive player."	Стефан Ребрача	Stefan Rebrača	Serbia	June 24, 1998 (age 25)	Active	2018 – Present			entry fragger				$6,143	Global Offensive	6,647,003	30
soLo	"Darko ""soLo"" Mitić (born August 7, 1989) is a Serbian professional Counter-Strike: Global Offensive coach. He is also a former professional Counter-Strike: Global Offensive and Counter-Strike player."	Дарко Митић	Darko Mitić	Serbia	August  7, 1989 (age 34)	Active	2016 2020	2017 – 2020, 2020 – Present	2023 – Present					$2,133	Global Offensive	6,647,003	30
VLDN	"Vladan ""VLDN"" Radević (born November 9, 2000) is a Serbian professional Counter-Strike: Global Offensive player."	Владан Радевић	Vladan Radević	Serbia	November  9, 2000 (age 22)	Active	2018 – Present			Rifler				$19,870	Global Offensive	6,647,003	30
zon1Q	"Kristina ""zon1Q"" Stevanović is an inactive Serbian professional Counter-Strike: Global Offensive player."	Кристина Стевановић	Kristina Stevanović	Serbia		Inactive	2015 – 2020			Rifler				$5,519	Global Offensive	6,647,003	30
aybeN	"Jovan ""aybeN"" Mucibabic (born August 17, 2000) is an Swedish-Serbian professional Counter-Strike: Global Offensive player."	Jovan Mucibabic		Serbia	August 17, 2000 (age 23)	Active	2018 – Present							$8,188	Global Offensive	6,647,003	30
jayzaR	"Aleksandar ""jayzaR"" Žarković (born June 18, 1997) is a Swedish-Serbian professional Counter-Strike: Global Offensive player."	Александар Жарковић	Aleksandar Žarković	Serbia	June 18, 1997 (age 26)	Active	2015 – Present			AWPer				$30,538	Global Offensive	6,647,003	30
Adejis	"Andrej ""Adejis"" Kameništiak (born November 1, 2001) is a Slovak professional Counter-Strike: Global Offensive player."	Andrej Kameništiak		Slovakia	November  1, 2001 (age 21)	Active	2020 – Present						ADEJIS	$8,565	Global Offensive	5,460,185	22
Dzejky	"Miloš ""Dzejky"" Frčo (born March 18, 1994) is a Slovak professional Counter-Strike: Global Offensive coach and former player."	Miloš Frčo		Slovakia	March 18, 1994 (age 29)	Active	2017 – 2021	2022 – Present		Coach	DNE Thunders		dzejky	$358	Global Offensive	5,460,185	22
forji	"Matej ""forji"" Kmiť is a Slovak professional Counter-Strike: Global Offensive coach and former player."	Matej Kmiť		Slovakia		Active	2008 – 2016	2015 2016 – 2021, 2023 – Present		Coach				$57	Global Offensive	5,460,185	22
frozen	"David ""frozen"" Čerňanský (born July 18, 2002) is a Slovak professional Counter-Strike: Global Offensive player for MOUZ."	David Čerňanský		Slovakia	July 18, 2002 (age 21)	Active	2015 – Present			Rifler	MOUZ			$427,137	Global Offensive	5,460,185	22
GuardiaN	"Ladislav ""GuardiaN"" Kovács (born July 9, 1991) is a Slovak professional Counter-Strike: Global Offensive and former professional Counter-Strike: Source and Counter-Strike player."	Ladislav Kovács		Slovakia	July  9, 1991 (age 32)	Active	2006 – Present			AWPer			GuardiaNko, JohnCarry, Mr.De@th	$800,843	Global Offensive	5,460,185	22
HenkkyG	"Ľuboš ""HenkkyG"" Ilko (born October 12, 1997) is a Slovak professional Counter-Strike: Global Offensive player."	Ľuboš Ilko		Slovakia	October 12, 1997 (age 25)	Active	2015 – Present			Rifler				$8,362	Global Offensive	5,460,185	22
KETUBOR	"Michal ""KETUBOR"" Csontoš (born August 12, 1987) is a Slovak professional Counter-Strike: Global Offensive coach and player and Counter-Strike: Source player. He currently resides in Australia."	Michal Csontoš		Slovakia	August 12, 1987 (age 36)	Active	2007 – 2015, 2016 2017	2015 2016 – 2021, 2022 – Present		Coach			ketuboR, robuteK, FREESTYLE	$1,930	Global Offensive	5,460,185	22
luko	"Lukáš ""luko"" Hrabčík {{born}] is a Slovak professional Counter-Strike: Global Offensive player."	Lukáš Hrabčík		Slovakia	November 16, 2000 (age 22)	Active	2016 – Present				UNiTY esports			$18,267	Global Offensive	5,460,185	22
M1key	"Jakub ""M1key"" Krausko (born March 17, 2004) is a Slovak professional Counter-Strike: Global Offensive player."	Jakub Krausko		Slovakia	March 17, 2004 (age 19)	Active	2019 – Present			lurker	UNiTY esports		M1key1769	$10,052	Global Offensive	5,460,185	22
matys	"Matúš ""matys"" Šimko (born April 21, 2002) is a Slovak professional Counter-Strike: Global Offensive player. Known for being an aggressive rifler, he fulfilled the role of an in-game leader for three months from September to December 2022 during his time with Team Sampi."	Matúš Šimko		Slovakia	April 21, 2002 (age 21)	Active	2020 – Present			Rifler	Team Sampi		MATYS, misma	$17,636	Global Offensive	5,460,185	22
MAXX	"Martin ""MAXX"" Smolár (born May 21, 1999) is a Slovak professional Counter-Strike: Global Offensive player."	Martin Smolár		Slovakia	May 21, 1999 (age 24)	Active	2016 – Present			In-game leader				$5,366	Global Offensive	5,460,185	22
NIO	"Dominik ""NIO"" Maxian (born July 15, 1999) is a Slovak professional Counter-Strike: Global Offensive player."	Dominik Maxian		Slovakia	July 15, 1999 (age 24)	Active	2016 – Present			AWPer	UNiTY esports		niotivve	$8,543	Global Offensive	5,460,185	22
queztone	"Richard ""queztone"" Strnátko (born March 9, 1996) is a Slovak professional Counter-Strike: Global Offensive player and former Counter-Strike player."	Richard Strnátko		Slovakia	March  9, 1996 (age 27)	Active	2012 – Present							$34,341	Global Offensive	5,460,185	22
sAvana1	"Lukáš ""sAvana1"" Lintner (born August 27, 2003) is a Slovak professional Counter-Strike: Global Offensive player."	Lukáš Lintner		Slovakia	August 27, 2003 (age 20)	Active	2020 – Present			support	Team Sampi		neppz	$15,122	Global Offensive	5,460,185	22
STYKO	"Martin ""STYKO"" Styk (born February 23, 1996) is a Slovak professional Counter-Strike: Global Offensive player."	Martin Styk		Slovakia	February 23, 1996 (age 27)	Active	2011 – Present			Rifler			styko	$372,734	Global Offensive	5,460,185	22
system	"Tomáš ""system"" Zemko (born November 26, 2003) is a Slovak professional Counter-Strike: Global Offensive player. He is the younger brother of mgnt."	Tomáš Zemko		Slovakia	November 26, 2003 (age 19)	Active	2017 – Present			Rifler	ENTERPRISE esports		SySTeM, SYSTEM	$12,222	Global Offensive	5,460,185	22
T4gg3D	"Michal ""T4gg3D"" Vrzal (born April 23, 2004) is a Slovak professional Counter-Strike: Global Offensive player."	Michal Vrzal		Slovakia	April 23, 2004 (age 19)	Active	2021 – Present				Team Sampi			$21,933	Global Offensive	5,460,185	22
teCkoO	"Tomáš ""teCkoO"" Koširer (born April 6, 1995) is a Slovak professional Counter-Strike: Global Offensive player and former coach. He retired on June 26, 2020.  He is the younger brother of ecko."	Tomáš Koširer		Slovakia	April  6, 1995 (age 28)	Active	2013 – 2020, 2023 – Present	2017			eSuba			$1,134	Global Offensive	5,460,185	22
The eLiVe	"Erik ""The eLiVe"" Sith is a Slovak professional Counter-Strike: Global Offensive player."	Erik Sith		Slovakia		Active	2017 – Present			In-game leader	Team Sampi		THE ELIVE, Bluewar	$41,785	Global Offensive	5,460,185	22
WEAMO	"Peter ""WEAMO"" Rauch (formerly known as jaro and wEAMO) is a Slovak professional Counter-Strike: Global Offensive player."	Peter Rauch		Slovakia		Active	2016 – Present						wEAMO, jaro	$3,370	Global Offensive	5,460,185	22
ZEDc	"Adam ""ZEDc"" Bartko (formerly known as ""ZeD"") (born February 4, 2001) is a Slovak professional Counter-Strike: Global Offensive player."	Adam Bartko		Slovakia	February  4, 2001 (age 22)	Active	2017 – Present			Rifler			ZeD	$6,218	Global Offensive	5,460,185	22
zyored	"Tomáš ""zyored"" Cvaniga (born May 28, 2001) is a Slovak professional Counter-Strike: Global Offensive player."	Tomáš Cvaniga		Slovakia	May 28, 2001 (age 22)	Active	2016 – Present							$6,265	Global Offensive	5,460,185	22
pTKKK	"Ivan ""pTKKK"" Popov (born July 16, 1996) is a Serbian-Slovenian professional Counter-Strike: Global Offensive coach, analyst and former player."	Иван Попов	Ivan Popov	Slovenia	July 16, 1996 (age 27)	Active	2017 – 2022	2022 – Present	2022 – Present					$6,007	Global Offensive	2,116,972	1
.exe	"Aidan "".exe"" Vorster (born May 15, 2003) is a South African professional Counter-Strike: Global Offensive player."	Aidan Vorster		South Africa	May 15, 2003 (age 20)	Active	2020 – Present			Rifler	Goliath Gaming		exe	$6,368	Global Offensive		39
adaro	"Tyler ""adaro"" Oliver (born December 3, 1999) is a South African professional Counter-Strike: Global Offensive player."	Tyler Oliver		South Africa	December  3, 1999 (age 23)	Active	2017 – Present			Rifler				$7,204	Global Offensive		39
aw3some	"Shannon ""aw3some"" Corran (born July 14, 1999) is a South African professional Counter-Strike: Global Offensive player."	Shannon Corran		South Africa	July 14, 1999 (age 24)	Active	2018 – 2020, 2020 – Present			In-game leader	Goliath Gaming			$5,217	Global Offensive		39
bLazE	"Josh ""bLazE"" Saunders (born March 16, 1998) is a South African professional Counter-Strike: Global Offensive player."	Josh Saunders		South Africa	March 16, 1998 (age 25)	Active	2017 – Present			Rifler	Nixuh			$20,284	Global Offensive		39
cent	"Andreas ""cent"" Hadjipaschali (born April 11, 1987) is a retired South African professional Counter-Strike: Global Offensive player and coach. He is also the director and CEO of Bravado Gaming, having founded the organization in 2006 with his brother Dimitri ""Detrony"" Hadjipaschali."	Andreas Hadjipaschali		South Africa	April 11, 1987 (age 36)	Active	2006 – 2019	2015 – 2016			Bravado Gaming			$400	Global Offensive		39
Chappy	"Leander ""Chappy"" van Schalkwyk (born February 26, 1997) is a South African professional Counter-Strike: Global Offensive player."	Leander van Schalkwyk		South Africa	February 26, 1997 (age 26)	Active	2016 – Present				KitsuneZA Esports			$3,231	Global Offensive		39
Detrony	"Dimitri ""Detrony"" Hadjipaschali (born October 31, 1990) is a retired South African professional Counter-Strike: Global Offensive player. He is one of the co-founders of Bravado Gaming, having founded the organization in 2006 with his brother Andreas ""cent"" Hadjipaschali."	Dimitri Hadjipaschali		South Africa	October 31, 1990 (age 32)	Active	2014 – 2019, 2021 – 2021,				Bravado Gaming			$44,492	Global Offensive		39
deviaNt	"Richard ""deviaNt"" Groves (born July 13, 1988) is a South African professional Counter-Strike: Global Offensive player."	Richard Groves		South Africa	July 13, 1988 (age 35)	Active	2014 – Present							$8,636	Global Offensive		39
Doru	"Johnathan ""Doru"" Fox (born March 21, 2000) is a South African professional Counter-Strike: Global Offensive player."	Johnathan Fox		South Africa	March 21, 2000 (age 23)	Active	2018 – Present				Bravado Gaming			$13,144	Global Offensive		39
Dubee	"Ben ""Dubee"" Normand (born October 11, 1999) is a South African professional Counter-Strike: Global Offensive player."	Ben Normand		South Africa	October 11, 1999 (age 24)	Active	2020 – Present			lurker				$2,426	Global Offensive		39
Dweezil	"Nico ""Dweezil"" Devonport (born June 30, 1996) is a South African professional Counter-Strike: Global Offensive player."	Nico Devonport		South Africa	June 30, 1996 (age 27)	Active	2017 – Present			AWPer				$9,902	Global Offensive		39
dyvo	"Dylan ""dyvo"" Vorster (born May 29, 1998) is a South African professional Counter-Strike: Global Offensive player who currently plays for VYBN."	Dylan Vorster		South Africa	May 29, 1998 (age 25)	Active	2016 – Present			Rifler	VYBN			$7,888	Global Offensive		39
ELUSIVE	"Ruan ""ELUSIVE"" van Wyk (born April 30, 1993) is a South African professional Counter-Strike: Global Offensive player."	Ruan van Wyk		South Africa	April 30, 1993 (age 30)	Active	2014 – 2019, 2020 – Present	2019						$39,955	Global Offensive		39
Explicit	"Tyrone ""Explicit"" Lautre is a South African professional Counter-Strike: Global Offensive player."	Tyrone Lautre		South Africa		Active	2004 – 2018, 2021 – Present							$7,877			39
Fadey	"Rhys ""Fadey"" Armstrong (born May 9, 1998) is a South African professional Counter-Strike: Global Offensive player."	Rhys Armstrong		South Africa	May  9, 1998 (age 25)	Active	2015 – Present			Rifler	Nixuh			$63,577	Global Offensive		39
flexeeee	"Rieghardt ""flexeeee"" Romatzki (born October 21, 1999) is a South African professional Counter-Strike: Global Offensive player."	Rieghardt Romatzki		South Africa	October 21, 1999 (age 23)	Active	2016 – Present			Rifler	Nixuh			$26,913	Global Offensive		39
FROZ3N	"Michael ""FROZ3N"" van der Walt (born June 20, 2003) is a South African professional Counter-Strike: Global Offensive player."	Michael van der Walt		South Africa	June 20, 2003 (age 20)	Active	2018 – Present			AWPer	Nixuh			$6,340	Global Offensive		39
HackeM	"Dean ""HackeM"" Seyfried (born October 9, 1991) is a South African professional Counter-Strike: Global Offensive player."	Dean Seyfried		South Africa	October  9, 1991 (age 32)	Active	2014 – Present							$6,343	Global Offensive		39
kanii	"Trevor ""kanii"" Morley (briefly known as kaNibalistic) (born November 11, 1993) is a South African professional Counter-Strike: Global Offensive player."	Trevor Morley		South Africa	November 11, 1993 (age 29)	Active	2015 – Present						kaNibalistic	$25,726	Global Offensive		39
kustoM	"Jean ""kustoM"" Herbst (born August 6, 1990) is a South African professional Counter-Strike: Global Offensive player."	Jean Herbst		South Africa	August  6, 1990 (age 33)	Active	2014 – Present							$7,154	Global Offensive		39
March	"Marchahn ""March"" Smith (formerly known as disTroiT) (born June 26, 2001) is a South African professional Counter-Strike: Global Offensive player. He is Wiljahne ""wilj"" Smith's older brother."	Marchahn Smith		South Africa	June 26, 2001 (age 22)	Active	2018 – Present			entry fragger	Bravado Gaming		disTroiT	$5,214	Global Offensive		39
massacRe	"Dean ""massacRe"" Davids (born December 20, 2000) is a South African professional Counter-Strike: Global Offensive player."	Dean Davids		South Africa	December 20, 2000 (age 22)	Active	2016 – Present			Rifler				$11,406	Global Offensive		39
rAid	"Max ""rAid"" Lithgow (born November 22, 2002) is a South African professional Counter-Strike: Global Offensive player."	Max Lithgow		South Africa	November 22, 2002 (age 20)	Active	2018 – Present			Rifler				$2,046	Global Offensive		39
Ruben	"Ruben ""Ruben"" Enslin (born March 1, 1999) is a South African professional Counter-Strike: Global Offensive player."	Ruben Enslin		South Africa	March  1, 1999 (age 24)	Active	2019 – Present				VYBN			$3,623	Global Offensive		39
RustyYG	"Dustin ""RustyYG"" Peacock (born February 12, 2001) is a South African professional Counter-Strike: Global Offensive player."	Dustin Peacock		South Africa	February 12, 2001 (age 22)	Active	2020 – 2021, 2021 – Present			In-game leader	Nixuh			$3,316	Global Offensive		39
slash	"Adam ""slash"" Schultz (born March 17, 2003) is a South African professional Counter-Strike: Global Offensive player."	Adam Schultz		South Africa	March 17, 2003 (age 20)	Active	2022 – Present			Rifler	Goliath Gaming			$2,787	Global Offensive		39
SloWye	"Aaron ""SloWye"" Van Der Walt (born March 13, 1994) is a South African professional Counter-Strike: Global Offensive player."	Aaron Van Der Walt		South Africa	March 13, 1994 (age 29)	Active	2017 – Present			AWPer	Bravado Gaming			$17,641	Global Offensive		39
Sonic	"Aran ""Sonic"" Groesbeek (born December 2, 1998) is a South African professional Counter-Strike 2 player and a former Counter-Strike: Global Offensive player."	Aran Groesbeek		South Africa	December  2, 1998 (age 24)	Active	2014 – Present				Bad News Bears			$121,639	Global Offensive		39
T.c	"Tiaan ""T.c"" Coertzen (born August 23, 1992) is a South African professional Counter-Strike: Global Offensive coach for Complexity Gaming and a retired player."	Tiaan Coertzen		South Africa	August 23, 1992 (age 31)	Active	2014 – 2016	2016 – Present		Coach	Complexity Gaming			$1,437	Global Offensive		39
takbok	"Jan ""takbok"" Theron is a South African professional Counter-Strike: Global Offensive player ."	Jan Theron		South Africa		Active	2015 – Present			entry fragger				$17,262	Global Offensive		39
TheM4N	"Shaun ""TheM4N"" Deyzel (born January 29, 1996) is a South African professional Counter-Strike: Global Offensive player."	Shaun Deyzel		South Africa	January 29, 1996 (age 27)	Active	2017 – Present			Rifler	VYBN		TheMan	$13,578	Global Offensive		39
Tiaantjie	"Tiaan ""Tiaantjie"" Rheeder (born March 24, 1995) is a South African professional Counter-Strike: Global Offensive player."	Tiaan Rheeder		South Africa	March 24, 1995 (age 28)	Active	2015 – Present			Rifler				$6,775	Global Offensive		39
tristanxa	"Tristan ""tristanxa"" Fuller (formerly known as Wildheart)  is a South African professional Counter-Strike: Global Offensive player."	Tristan Fuller		South Africa		Active	2019 – Present			AWPer	Goliath Gaming		Wildheart	$3,362	Global Offensive		39
Triton	"Kian ""Triton"" Gibson is a South African professional Counter-Strike: Global Offensive player."	Kian Gibson		South Africa	December  4, 2002 (age 20)	Active	2021 – Present			Rifler	Bravado Gaming			$7,928	Global Offensive		39
uDEADSHOT	"Robert ""uDEADSHOT"" Butler (born December 10, 2001) is a South African professional Counter-Strike: Global Offensive player."	Robert Butler		South Africa	December 10, 2001 (age 21)	Active	2021 – Present			Rifler	Goliath Gaming			$3,820	Global Offensive		39
wilj	"Wiljahne ""wilj"" Smith (formerly known as mango) (born April 22, 2004) is a South African professional Counter-Strike: Global Offensive player. He is Marchahn ""March"" Smith's younger brother."	Wiljahne Smith		South Africa	April 22, 2004 (age 19)	Active	2019 – Present			lurker	Bravado Gaming		mango	$11,875	Global Offensive		39
wipeout	"Willie ""wipeout"" Steyn (born November 26, 1998) is a South African professional Counter-Strike: Global Offensive player."	Willie Steyn		South Africa	November 26, 1998 (age 24)	Active	2019 – Present			Rifler	VYBN		Wip3ouT	$8,252	Global Offensive		39
ZipZip	"Rikus ""ZipZip"" Klue (born March 7, 1996) is a South African professional Counter-Strike: Global Offensive player."	Rikus Klue		South Africa	March  7, 1996 (age 27)	Active	2015 – Present			lurker			Klue	$10,151	Global Offensive		39
zox	"Ethan ""zox"" Angelo (born August 5, 2004) is a South African professional Counter-Strike: Global Offensive player."	Ethan Angelo		South Africa	August  5, 2004 (age 19)	Active	2020 – Present			Rifler			zOx, z0x	$2,455	Global Offensive		39
XigN	"Hyun-pyo ""XigN"" Lee (born March 26, 1997) is a South Korean professional Counter-Strike: Global Offensive player who currently plays for Team NKT."	이현표	Lee Hyun-pyo	South Korea	March 26, 1997 (age 26)	Active	2014 – Present			Rifler	Team NKT		X1gN	$98,148	Global Offensive	51,966,948	1
EMENK	"Michal ""EMENK"" Belej (born July 31, 1998) is a Slovak professional Counter-Strike: Global Offensive player. He is the younger brother of Peter ""shhhack"" Belej. He currently lives in Spain."	Michal Belej		Spain	July 31, 1998 (age 25)	Inactive	2015 – 2020						Emenk	$9,102	Global Offensive	48,345,223	30
Adrig6	"Adrià ""Adrig6"" Gispert (born December 14, 1989) is a Spanish professional Counter-Strike: Global Offensive player and owner of the gBots organization."	Adrià Gispert		Spain	December 14, 1989 (age 33)	Active	2016 – 2018				gBots				Global Offensive	48,345,223	30
ALEX	"Alejandro ""ALEX"" Masanet (born December 15, 1995) is a Spanish professional Counter-Strike: Global Offensive player who plays for Movistar Riders as the in-game leader."	Alejandro Masanet Candela		Spain	December 15, 1995 (age 27)	Active	2013 – Present				Movistar Riders		alex	$126,826	Global Offensive	48,345,223	30
arki	"Omar ""arki"" Chakkor Feltrer (born December 7, 1989) is a Spanish professional Counter-Strike: Global Offensive coach and player."	Omar Chakkor Feltrer		Spain	December  7, 1989 (age 33)	Active	2004 – 2022, 2023 – Present	2022 – 2023		Rifler	Ramboot Club			$59,670	Global Offensive	48,345,223	30
bladE	"Galder ""bladE"" Barcena (born August 24, 1989) is a Spanish professional Counter-Strike: Global Offensive coach for Movistar Riders and a retired professional Counter-Strike: Global Offensive and Counter-Strike player."	Galder Barcena Gallo		Spain	August 24, 1989 (age 34)	Active	2012 – 2019	2019 – Present		Coach	Movistar Riders			$11,752	Global Offensive	48,345,223	30
Cr0n0s	"Antonio ""Cr0n0s"" Soriano (born December 25, 1982) is a Spanish professional Counter-Strike: Global Offensive coach and a former professional Counter-Strike player."	Antonio Soriano		Spain	December 25, 1982 (age 40)	Active	1999 – 2007, 2012	2017 – Present		Coach	Ramboot Club				Global Offensive	48,345,223	30
dav1g	"David ""dav1g"" Granado (born June 6, 2001) is a Spanish professional Counter-Strike: Global Offensive player."	David Granado Bermudo		Spain	June  6, 2001 (age 22)	Active	2018 – Present			entry fragger	Movistar Riders			$72,864	Global Offensive	48,345,223	30
DeathZz	"Raúl ""DeathZz"" Jordán (born January 31, 1996) is a Spanish professional Counter-Strike: Global Offensive player."	Raúl Jordán Nieto		Spain	January 31, 1996 (age 27)	Active	2016 – Present			support	Ramboot Club		DeathZzaky, DeaTh	$62,471	Global Offensive	48,345,223	30
drifking	"Miguel ""drifking"" García Bermell (born November 24, 1992) is a Spanish professional Counter-Strike: Global Offensive player."	Miguel García Bermell		Spain	November 24, 1992 (age 30)	Active	2011 – Present			lurker				$5,876	Global Offensive	48,345,223	30
enanoks	"Alfredo ""enanoks"" Álvarez (born April 11, 1994) is a retired Spanish professional Counter-Strike: Global Offensive player. He retired on April 17, 2021.  He returned to competitive Counter-Strike on March 2022 as part of ORO Gaming Group roster."	Alfredo Álvarez		Spain	April 11, 1994 (age 29)	Active	2015 – 2021, 2022 - Present			Rifler	FALKE ESPORTS			$12,233	Global Offensive	48,345,223	30
FeldmaN	"Rafael ""FeldmaN"" Rodriguez Barroso (born June 9, 1989) is a Spanish professional Counter-Strike: Global Offensive analyst and former Counter-Strike: Global Offensive coach and Counter-Strike player."	Rafael Rodriguez Barroso		Spain	June  9, 1989 (age 34)	Active		2018 – Present		Analyst	Team Falcons			$4,206	Global Offensive	48,345,223	30
FlipiN	"Antonio ""FlipiN"" Rivas del Rey (born September 28, 1987) is a Spanish professional Counter-Strike: Global Offensive and Counter-Strike player."	Antonio Rivas del Rey		Spain	September 28, 1987 (age 36)	Active	2004 – 2019, 2023 – Present			lurker	Ramboot Club		FlipAIM, FlipiN1 #LosFieles, Reverde Carvo	$32,146	Global Offensive	48,345,223	30
Hepa	"Juan ""Hepa"" Borges (born December 27, 1992) is a Spanish professional Counter-Strike: Global Offensive strategic coach for Evil Geniuses and former analyst."	Juan Borges		Spain	December 27, 1992 (age 30)	Active		2017 – 2018, 2023 – Present	2018 – 2023	Coach	Evil Geniuses				Global Offensive	48,345,223	30
JennyR	"Jennifer ""JennyR"" Rodriguez (born September 10, 2001) is a Spanish professional Counter-Strike: Global Offensive player."	Jennifer Irina Brea Rodriguez		Spain	September 10, 2001 (age 22)	Active	2017 – Present			Rifler	BIG EQUIPA		Jenny_R	$4,904		48,345,223	30
Kairi	"David ""Kairi"" De Miguel (born June 3, 1988) is a Spanish professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive and Counter-Strike player."	David de Miguel de la Fuente		Spain	June  3, 1988 (age 35)	Active	2007 – 2021	2021 2023 – Present		Coach	Natus Vincere Junior			$36,027	Global Offensive	48,345,223	30
kanarito	"Natanael ""kanarito"" Ródenas (born September 4, 1994) is a Spanish professional Counter-Strike: Global Offensive player."	Natanael Ródenas Betancort		Spain	September  4, 1994 (age 29)	Active	2013 – 2021, 2022 – Present			Rifler			kana, kaNaxjo-.	$10,163	Global Offensive	48,345,223	30
